title,description
Marcia Alves do Nascimento,Estou muito triste porque conta do cancelamento do meu cartão de crédito tive um atendimento com o nubank falaram que era irr...
Cobranças incansáveis de desconhecida,"Nas últimas semanas venho recebendo com frequência ligações do Nubank. Eles procuram uma tal de ""Ingrid"" para cobra..."
Cair em um [Editado pelo Reclame Aqui],"Entrei em um link do tiktok,bom o dinheiro só cairia na minha conta se despositasse tal quantia.Peguei e depositei,mais..."
[Editado pelo Reclame Aqui] na laser fast,"Em novembro, optei por um pacote da Laser Fast devido às condições favoráveis oferecidas em parceria com a Nubank, que incluí..."
Juros abusivo,Fui parcelar minha fatura do cartão e a nubank está cobrando um juros muito alto.
Juros abusivo,Usei o limite do cartão tive q parcelar estão cobrando muito juros quero reparcelar minha dívida com os juros corretos
"Pagamento em atraso, porém débito automático ativo",Recebi um e-mail da Nubank no dia 27 de fevereiro notificando que minha fatura do período de 24/02 estava em rotativo ou em a...
Fiz acordo no app e o banco tá cobrando saldo negativo,"Fiz o acordo de 2 parcelas e a nubank jogou saldo negativo no valor das parcelas então ternamente a conta dobra de valor, pfv..."
Cancelamento da Conta do Nu bank e Nu invest corretora de valores,"Prezado senhor,Solicito o cancelamento da conta do NuBank da conta NU Investa no Relatório de Contas e Relaciona..."
Difamação,"Primeiro a Nubank cancelou minha conta sem nenhuma explicação, não enviou meu saldo em conta pra outra conta que já enviei d..."
Cobrança indevida,"No dia 22/2, fiz uma compra na loja soneda da Paulista. A caixa passou meu cartão nubank crédito duas vezes e a máquina acuso..."
Cancelamento e reembolso,"Contratei um seguro pro celular , o celular acabou quebrando não acionei o seguro comprei outro aparelho tentei cancelar o se..."
Conta bloqueada,"Bom fiz uma reclamação de uma contestação sobre compra no cartão de crédito, e com isso vocês bloquearam a minha conta e nunc..."
"PAGUEI A FATURA ADIANTADO, NAO ABATERAM NA FATURA A VENCER","Estava com minha conta Nubank EM DIA. NADA ATRASADO.A próxima fatura, a fechar no dia 26/janeiro e a vencer dia 03/Fev..."
Estorno / cobrança de valores duplicado / mal atendimento,Ha meses problemas com nubank cansada de entra em contato e nunca resolver nada estes atendentes mal preparados Fatura ...
Cartão de crédito com cobrança indevida,"Ha alguns meses que recebo em minha fatura do cartão de crédito,uma cobrança no valor de 39,99 a qual a única informação é o ..."
Renegociação,"Estou com uma dívida no cartão que ainda não negativou meu cpf, entrei em contato com o Nubank á um tempo atrás para ..."
Cobrança indevida,Recebi um intimação de Serasa no valor de 1208.60 sendo que não tenho conta em Nubank não USP cartão de crédito eu vou procur...
Pix e transação que foi feito errado,"Boa noite ,fiz uma transação para uma conta bancária por erro meu que não existe mais e não ganhei nenhum suporte da parte da..."
"Não consigo acessar minha conta, reconhecimento facial fica borrado","Troquei de celular faz pouco tempo e transferi todos meus app para o novo, depois disso nao consegui mais entrar no aplicativ..."
Demora de Abertura de conta PJ,Serei breve! Mais de um mês esperando a empresa Nubank aprovar uma abertura conta PJ? Cheio de desculpas que depende de anál...
Juros altos em empréstimo e dificuldade em renegociar.,Estava passando por um momento de dificuldade financeira e fiz empréstimo de 8 mil reais com o intuito de desafogar as divida...
Juros,"Tenho um empréstimo, um valor bem pequeno. Mas atrasei, fiz várias negociações e paguei entrada e algumas parcelas. Atrasava ..."
"Cartão pago com atraso,agora tenho limite e não posso usar o cartão tá bloqueado.",Cartão mesmo após ser pago possui limite porém o mesmo encontra-se bloqueado. Renata de Oliveira Vieira Miguel **...
Não consigo cancelar cobranças indevidas,"Quero cancelar uma assinatura irregular no meu cartão de crédito da Amazon prime, mas não consigo pois nem a nubank bloqueia ..."
Limite,"Já fazem mais de 5 anos que tenho conta na Nubank, já cheguei a movimentar mais de 30 mil na conta todos os meses, mantenho s..."
Google smart media ap,"Hoje as 19:20 do dia 27, recebi uma notificação da Nubank informando uma compra de 14,99 na google smart media ap, ao qual nã..."
Extravio,Uma cliente passou o cartão de débito Nu Bank o dinheiro saiu da conta dela e não chegou na minha conta.
N consigo acessar minha conta,estou há quatro dias sem poder usar no Bank não sei mais o que fazer Já fiz tudo que eles me orientaram fazendo já autorizara...
Inscrição indevida no registrado,Paguei um acordo com o banco .Ao entrar no registrado deparei esse acordo como prejuízo me impossibilitando de conseguir cr...
Inscrição indevida no registrado,Paguei um acordo com o banco .Ao entrar no registrado deparei esse acordo como prejuízo me impossibilitando de conseguir cr...
Estorno não feito,"Recebi meu salário hoje 27/02 na minha conta e mesmo acessando o app, não consigo usar meu saldo em conta.Pois me disse..."
Prejuízo,"limpei meu nome no aplicativo do serasa e mesmo assim meu nome está nos registros como prejuízo, já tentei fazer financiament..."
Foi feita duas compras no meu cartão virtual que não foi eu quem fiz,Hoje a tarde do dia 27 de fevereiro de 2025 eu recebi notificação no aplicativo que foram efetuadas duas compras online no me...
Nubank te trata como [Editado pelo Reclame Aqui],"Vou resumir e postar os prints pois já estou cansada da Nubank, pretendo pagar antecipadamente minhas faturas dos próximos me..."
Ameaça,Me mandaram uma notificação extra judicial me ameaçando. Eu já avisei voces por duas vezes uma por email e outra por aqui que...
Ricardo,"Afirmo uma dívida em torno no valor de R$ 390,00, sendo que, estou muito interessado em pagar, mas ao meu ponto de vista estã..."
Cancelamento das Minhas contas PJ e PF.,"Prezada equipe do Nubank,Venho por meio desta, expressar minha insatisfação e preocupação em relação ao bloqueio ..."
Tiraram o dinheiro da minha conta,Tiraram o dinheiro da minha conta
Recebi 4 cobranças de Panvel,"Recebi 4 cobranças no cartão de crédito de Panvel Matriz no sábado dia 22/02/2025:R$ 257,96 em 3x às 11:08R..."
Não consigo resgatar meus investimentos,"Invisto no Tesouro Direto por meio do Nubank desde 2018. Ontem, dia 26 de fevereiro de 2025, entrei no aplicativo do banco pa..."
Nu Bank Nó Cego,Eu contestei uma Fatura da Skay cobrada indevidamente em data anterior! No mês seguinte veio a cobrança Novamente! Alegou que...
