title,description,categoria,titulo_limpo,descricao_limpa,tokens_titulo,tokens_descricao,sentimento_titulo,sentimento_descricao
So me ofereceram pagamento a vista e com pouco desconto e preciso limpar meu nome urgente,"Boa noite, ja tentei entrar em contato pelo chat tanto ligando pra nubank, e nenhum dos casos os atendentes sempre recusam fa...",Pagamentos,so me ofereceram pagamento a vista e com pouco desconto e preciso limpar meu nome urgente,boa noite ja tentei entrar em contato pelo chat tanto ligando pra nubank e nenhum dos casos os atendentes sempre recusam fa,"['oferec', 'pag', 'vist', 'pouc', 'descont', 'precis', 'limp', 'nom', 'urgent']","['boa', 'noit', 'tent', 'entr', 'contat', 'chat', 'tant', 'lig', 'pra', 'nubank', 'nenhum', 'cas', 'atend', 'sempr', 'recus']",3,4
Atraso nos pagamentos da fatura mensal do cartão de crédito e empréstimo.,Estou em atraso com a fatura do cartão e do empréstimo.Quando eu fiz o empréstimo eu achei que seria uma única fatura j...,Cartão de Crédito,atraso nos pagamentos da fatura mensal do cartão de crédito e empréstimo,estou em atraso com a fatura do cartão e do empréstimoquando eu fiz o empréstimo eu achei que seria uma única fatura j,"['atras', 'pag', 'fatur', 'mens', 'cart', 'crédit', 'emprést']","['atras', 'fatur', 'cart', 'empréstimoqu', 'fiz', 'emprést', 'ach', 'únic', 'fatur']",1,2
"Preciso do extrato dos meses de jun, jul e agosto de 2024 da NU FINANCEIRA","Preciso do extrato dos meses de jun, jul e agosto de 2024 da NU FINANCEIRA, me informei que precisava emitir meus rendimentos...",Outros,preciso do extrato dos meses de jun jul e agosto de da nu financeira,preciso do extrato dos meses de jun jul e agosto de da nu financeira me informei que precisava emitir meus rendimentos,"['precis', 'extrat', 'mes', 'jun', 'jul', 'agost', 'financ']","['precis', 'extrat', 'mes', 'jun', 'jul', 'agost', 'financ', 'inform', 'precis', 'emit', 'rend']",3,1
Cancelamento de conta indevido,"Sou cliente do Nubank há 9 anos, efetuei uma compra no cartão de crédito e precisei cancelar a compra, bloquearam o meu limit...",Conta,cancelamento de conta indevido,sou cliente do nubank há anos efetuei uma compra no cartão de crédito e precisei cancelar a compra bloquearam o meu limit,"['cancel', 'cont', 'indev']","['client', 'nubank', 'ano', 'efet', 'compr', 'cart', 'crédit', 'precis', 'cancel', 'compr', 'bloque', 'limit']",1,1
Negociação de dívidas,"Estou novamente empregada e gostaria de quitar minhas dívidas de crédito e empréstimo com o nubank. Ano passado, entre outubr...",Outros,negociação de dívidas,estou novamente empregada e gostaria de quitar minhas dívidas de crédito e empréstimo com o nubank ano passado entre outubr,"['negoci', 'dív']","['nov', 'empreg', 'gost', 'quit', 'dív', 'crédit', 'emprést', 'nubank', 'ano', 'pass', 'outubr']",4,5
Para mim é o o pior cartão,Para mim isso é o pior cartão do Brasil a pessoa com nome limpo com score bom e ele não aumenta o limite já faz dois anos com...,Cartão de Crédito,para mim é o o pior cartão,para mim isso é o pior cartão do brasil a pessoa com nome limpo com score bom e ele não aumenta o limite já faz dois anos com,"['mim', 'pi', 'cart']","['mim', 'pi', 'cart', 'brasil', 'pesso', 'nom', 'limp', 'scor', 'bom', 'aument', 'limit', 'faz', 'doi', 'ano']",1,5
Dinheiro emprestimo nubank não caiu na minha NUBANK CONTA.,"Dinheiro emprestimo nubank não caiu na minha NUBANK CONTA. Recebi o recibo, mas o dinheiro não foi para minha conta Nub...",Conta,dinheiro emprestimo nubank não caiu na minha nubank conta,dinheiro emprestimo nubank não caiu na minha nubank conta recebi o recibo mas o dinheiro não foi para minha conta nub,"['dinh', 'emprest', 'nubank', 'caiu', 'nubank', 'cont']","['dinh', 'emprest', 'nubank', 'caiu', 'nubank', 'cont', 'receb', 'recib', 'dinh', 'cont', 'nub']",1,1
Nubank não cumpre chargeback de compras futuras,"Bom, estou a dois dias tentando falar com alguém da nubank para contestar uma compra da qual não recebi. Cada pessoa que resp...",Outros,nubank não cumpre chargeback de compras futuras,bom estou a dois dias tentando falar com alguém da nubank para contestar uma compra da qual não recebi cada pessoa que resp,"['nubank', 'cumpr', 'chargeback', 'compr', 'futur']","['bom', 'doi', 'dia', 'tent', 'fal', 'alguém', 'nubank', 'contest', 'compr', 'receb', 'cad', 'pesso', 'resp']",1,4
Cancelamento de empréstimo negado,"No dia 24/02/25 (segunda-feira)solicitei um empréstimo que estava aparecendo como pré-aprovado no meu aplicativo Nubank, Poré...",Empréstimo,cancelamento de empréstimo negado,no dia segundafeirasolicitei um empréstimo que estava aparecendo como préaprovado no meu aplicativo nubank poré,"['cancel', 'emprést', 'neg']","['dia', 'segundafeirasolicit', 'emprést', 'aparec', 'préaprov', 'aplic', 'nubank', 'poré']",1,1
Bloqueio Indevido de PIX,"Venho manifestar minha profunda indignação com a atuação da Nubank no bloqueio indevido de um PIX recebido no dia 13/01/2025,...",Conta,bloqueio indevido de pix,venho manifestar minha profunda indignação com a atuação da nubank no bloqueio indevido de um pix recebido no dia,"['bloquei', 'indev', 'pix']","['venh', 'manifest', 'profund', 'indign', 'atu', 'nubank', 'bloquei', 'indev', 'pix', 'receb', 'dia']",1,1
Ligações intermináveis,"Possuo uma pequena transportadora, e infelizmente tive um caminhão meu furtado, e por consequência a queda abrupta no faturam...",Atendimento,ligações intermináveis,possuo uma pequena transportadora e infelizmente tive um caminhão meu furtado e por consequência a queda abrupta no faturam,"['lig', 'intermin']","['possu', 'pequen', 'transport', 'infeliz', 'caminh', 'furt', 'consequ', 'qued', 'abrupt', 'fatur']",3,1
"Esse caso já aconteceu pela segunda vez, primeiro em janeiro, agora no mês de fevereiro","Pela segunda vez, fiz pagamento pelo app Nubank. Esse dinheiro saiu da minha conta, porém não foi gerado comprovante e o débi...",Outros,esse caso já aconteceu pela segunda vez primeiro em janeiro agora no mês de fevereiro,pela segunda vez fiz pagamento pelo app nubank esse dinheiro saiu da minha conta porém não foi gerado comprovante e o débi,"['cas', 'acontec', 'segund', 'vez', 'prim', 'jan', 'agor', 'mê', 'fever']","['segund', 'vez', 'fiz', 'pag', 'app', 'nubank', 'dinh', 'saiu', 'cont', 'porém', 'ger', 'comprov', 'déb']",1,1
Cartão de crédito virtual,"Tenho limite disponível no meu cartão de crédito virtual, porém não consigo usar o mesmo. No aplicativo do banco não tem uma ...",Cartão de Crédito,cartão de crédito virtual,tenho limite disponível no meu cartão de crédito virtual porém não consigo usar o mesmo no aplicativo do banco não tem uma,"['cart', 'crédit', 'virtual']","['limit', 'dispon', 'cart', 'crédit', 'virtual', 'porém', 'consig', 'us', 'aplic', 'banc']",5,1
Cartao cancelado mesmo pago,Tivemos um problema e atrasei a fatura do meu cartão nubank consegui pagar mesmo com desconto mas paguei gostaria de ativa...,Cartão de Crédito,cartao cancelado mesmo pago,tivemos um problema e atrasei a fatura do meu cartão nubank consegui pagar mesmo com desconto mas paguei gostaria de ativa,"['carta', 'cancel', 'pag']","['problem', 'atras', 'fatur', 'cart', 'nubank', 'consegu', 'pag', 'descont', 'pag', 'gost', 'ativ']",1,2
"NOTIFICAÇÃO ""RAIA DROGASIL ACABOU DE VERIFICAR SEU CARTÃO""","Recebi agora uma notificação do app da Nubank com a seguinte mensagem: ""RAIA DROGASIL acabou de verificar se o seu cartã...",Cartão de Crédito,notificação raia drogasil acabou de verificar seu cartão,recebi agora uma notificação do app da nubank com a seguinte mensagem raia drogasil acabou de verificar se o seu cartã,"['notific', 'rai', 'drogasil', 'acab', 'verific', 'cart']","['receb', 'agor', 'notific', 'app', 'nubank', 'seguint', 'mens', 'rai', 'drogasil', 'acab', 'verific', 'cartã']",1,1
"Informei cobrança [Editado pelo Reclame Aqui] da Brasil Paralelo, mandei comprovantes, mas Nubank",Entrei em contato com o Nubank em outubro de 2024 para informar uma compra [Editado pelo Reclame Aqui] da empresa Brasil Para...,Outros,informei cobrança editado pelo reclame aqui da brasil paralelo mandei comprovantes mas nubank,entrei em contato com o nubank em outubro de para informar uma compra editado pelo reclame aqui da empresa brasil para,"['inform', 'cobranç', 'edit', 'reclam', 'aqu', 'brasil', 'paralel', 'mand', 'comprov', 'nubank']","['entr', 'contat', 'nubank', 'outubr', 'inform', 'compr', 'edit', 'reclam', 'aqu', 'empr', 'brasil']",1,1
Banco não quer cancelar a compra. E a loja não responde.,"Bom! Estou com um grande problema Dia 2/2 fiz uma compra de 129,00Porém não chegou : e a loja não atende as msg ...",Outros,banco não quer cancelar a compra e a loja não responde,bom estou com um grande problema dia fiz uma compra de porém não chegou e a loja não atende as msg,"['banc', 'qu', 'cancel', 'compr', 'loj', 'respond']","['bom', 'grand', 'problem', 'dia', 'fiz', 'compr', 'porém', 'cheg', 'loj', 'atend', 'msg']",1,1
Não entregaram meu cartão,"Meu cartão foi clonado, então cancelei e pedi outro. Porém, estou esperando este outro cartão desde o dia 31 de janeiro, e na...",Cartão de Crédito,não entregaram meu cartão,meu cartão foi clonado então cancelei e pedi outro porém estou esperando este outro cartão desde o dia de janeiro e na,"['entreg', 'cart']","['cart', 'clon', 'ent', 'cancel', 'ped', 'outr', 'porém', 'esper', 'outr', 'cart', 'desd', 'dia', 'jan']",1,1
Compra cancelada estorno não realizado,"Boa noite meus queridos Sou uma senhor de 79 anos, professora aposentada.Tive bastante interesse em conhece...",Outros,compra cancelada estorno não realizado,boa noite meus queridos sou uma senhor de anos professora aposentadative bastante interesse em conhece,"['compr', 'cancel', 'estorn', 'realiz']","['boa', 'noit', 'quer', 'senh', 'ano', 'profes', 'aposentadativ', 'bast', 'inter', 'conhec']",1,5
Cartão,Quero cartão de crédito,Cartão de Crédito,cartão,quero cartão de crédito,['cart'],"['quer', 'cart', 'crédit']",3,1
Contestação demorada,"Fiz uma comprae há mandei o comprovando que a empresa estorno, já fazremoi que contestei é o nubank não fez nada",Outros,contestação demorada,fiz uma comprae há mandei o comprovando que a empresa estorno já fazremoi que contestei é o nubank não fez nada,"['contest', 'demor']","['fiz', 'compra', 'mand', 'comprov', 'empr', 'estorn', 'fazremo', 'contest', 'nubank', 'fez', 'nad']",1,1
